"NAVARRA","BAZTAN","ELIZONDO","31700","CR N-121B, 59 (N-121B km 58)","D","-1.512361","43.148639","20/11/2021 00:00","1.539","","","","","1.399","1.449","0.956","","","","","","","CAMPSA","No Low cost","P","OM","L-D: 06:00-22:00","L-D: 06:00-22:00 (A)"
"CANTABRIA","ASTILLERO (EL)","GUARNIZO","39611","CALLE PROSPERIDAD, 61","D","-3.836111","43.404417","20/11/2021 00:01","1.575","","","","","1.425","","","","","1.425","0.799","","","AREA DE SERVICIO LA PALMERA","Low Cost","P","dm","L-S: 07:00-13:00","L-S: 07:00-13:00 (A)"
"MÁLAGA","CASARES","CASARES","29690","CARRETERA A-2102 KM. 10,100","I","-5.314944","36.334222","22/11/2021 11:11","1.499","","","","","1.359","","","","","","","","","E.S. SECADERO","Low Cost","P","dm","L: 07:00-23:00","L: 07:00-23:00 (P)"
"CANTABRIA","MIENGO","GORNAZO","39310","CARRETERA A67 KM. 13","N","-3.987222","43.407778","22/11/2021 12:00","1.479","","","1.629","","1.329","1.419","","","","","","","","AVIA","No Low cost","P","dm","L-D: 24H","L-D: 00:00-07:00 (A), 07:00-23:00 (P), 23:00-23:59 (A)"
"MADRID","MADRID","MADRID","28031","CARRETERA M-203 KM. 0,28","D","-3.596139","40.379944","20/11/2021 00:00","1.559","","","1.709","","1.449","1.529","","","","","0.859","","","REPSOL","No Low cost","P","OM","L-D: 06:00-22:00","L-D: 06:00-22:00 (A)"
"PALMAS (LAS)","PALMAS DE GRAN CANARIA (LAS)","PALMAS DE GRAN CANARIA (LAS)","35008","PLAZA MISTER JOLLY, S/N","D","-15.416639","28.147528","22/11/2021 09:32","1.179","","","1.299","","1.099","1.199","","","","","","","","BP TERMINAL PUERTO","No Low cost","P","dm","L-V: 06:00-22:00; S: 06:00-15:30","L-V: 06:00-22:00 (A); S: 06:00-15:30 (A)"
"SEGOVIA","VILLACASTÍN","VILLACASTIN","40150","CR N-6, 88,2","I","-4.463889","40.796778","22/11/2021 17:47","1.524","","","1.664","","1.424","1.494","","","","","","","","GALP","No Low cost","P","OM","L-S: 07:00-23:00; D: 07:00-22:00","L-S: 07:00-23:00 (A); D: 07:00-22:00 (A)"
"HUELVA","PATERNA DEL CAMPO","PATERNA DEL CAMPO","21880","CARRETERA BERROCAL KM. 0,3","D","-6.406361","37.423528","17/11/2021 10:33","1.529","","","","","1.449","","0.905","","","","","","","PATEROIL","Low Cost","P","dm","L-D: 07:00-14:00 y 16:00-21:00","L-D: 07:00-14:00 (A), 16:00-21:00 (A)"
"MURCIA","CEHEGÍN","CEHEGIN","30430","CALLE EL MULADAR, 8","N","-1.782556","38.096583","22/11/2021 09:39","","","","","","1.279","","","","","","","","","VEDICAR","Low Cost","P","dm","L-V: 07:30-14:00 y 15:30-21:00; S: 08:00-14:00","L-V: 07:30-14:00 (A), 15:30-21:00 (A); S: 08:00-14:00 (A)"
"GRANADA","ARMILLA","ARMILLA","18100","CARRETERA ARMILLA KM. 7","N","-3.618417","37.149083","22/11/2021 10:44","1.429","","","1.609","","1.309","1.359","","","","","","","","ASC CARBURANTES","Low Cost","P","dm","L-D: 24H","L-D: 00:00-06:00 (A), 06:00-22:00 (P), 22:00-23:59 (A)"
"MADRID","VALDEMORO","VALDEMORO","28340","AVENIDA ANDALUCIA, 7","D","-3.6735","40.1895","22/11/2021 15:00","1.569","","1.649","","","1.439","1.505","","","","","","","","CEPSA","No Low cost","P","OM","L-J: 06:00-23:59; V-S: 24H; D: 06:00-23:59","L-J: 06:00-23:59 (A); V-S: 24H (A); D: 06:00-23:59 (A)"
